date,births,births_in_the_year
1944-01-01,122.8794521,44851
1945-01-01,125.5890411,45840
1946-01-01,180.8849315,66023
1947-01-01,193.6575342,70685
1948-01-01,166.5890411,60805
1949-01-01,154.9232877,56547
1950-01-01,147.0136986,53660
1951-01-01,143.5260274,52387
1952-01-01,140.939726,51443
1953-01-01,139.7041096,50992
1954-01-01,139.0273973,50745
1955-01-01,136.509589,49826
1956-01-01,142.9342466,52171
1957-01-01,144.4739726,52733
1958-01-01,148.3616438,54152
1959-01-01,151.2082192,55191
1960-01-01,157.1726027,57368
1961-01-01,164.5260274,60052
1962-01-01,171.2986301,62524
1963-01-01,173.9726027,63500
1964-01-01,173.9726027,63500
1965-01-01,173.9726027,63500
