I,S,durationofI,life,r0,rep,fitness,index
10,168000,14.6136,21900,18,0.5,-37446.7,0
10,168000,14.6136,21900,18,0.5,-37446.7,1
10,168000,14.6136,21900,18,0.5,-37446.7,2
10,168000,14.6136,21900,18,0.5,-37446.7,3
10,168000,14.6136,21900,18,0.5,-37446.7,4
10,168000,14.6136,21900,18,0.5,-37446.7,5
10,168000,14.6136,21900,18,0.5,-37446.7,6
10,168000,14.6136,21900,18,0.5,-37446.7,7
10,168000,14.6136,21900,18,0.5,-37446.7,8
10,168000,14.6136,21900,18,0.5,-37446.7,9
10,168000,14.6136,21900,18,0.5,-37446.7,10
9.74922,169629,14.6228,21944.6,17.9235,0.492204,-36982.8,11
9.74922,169629,14.6228,21944.6,17.9235,0.492204,-36982.8,12
9.74922,169629,14.6228,21944.6,17.9235,0.492204,-36982.8,13
9.74922,169629,14.6228,21944.6,17.9235,0.492204,-36982.8,14
9.74922,169629,14.6228,21944.6,17.9235,0.492204,-36982.8,15
9.94446,168536,14.6652,21955.5,17.9855,0.491465,-36966,16
9.94446,168536,14.6652,21955.5,17.9855,0.491465,-36966,17
9.94446,168536,14.6652,21955.5,17.9855,0.491465,-36966,18
9.94446,168536,14.6652,21955.5,17.9855,0.491465,-36966,19
9.94446,168536,14.6652,21955.5,17.9855,0.491465,-36966,20
9.94446,168536,14.6652,21955.5,17.9855,0.491465,-36966,21
9.94446,168536,14.6652,21955.5,17.9855,0.491465,-36966,22
9.94446,168536,14.6652,21955.5,17.9855,0.491465,-36966,23
9.94446,168536,14.6652,21955.5,17.9855,0.491465,-36966,24
9.84353,168852,14.6237,21985.3,17.9372,0.49305,-36878.6,25
9.91602,168606,14.6112,21962.4,17.9418,0.492954,-36797.8,26
9.91602,168606,14.6112,21962.4,17.9418,0.492954,-36797.8,27
9.91602,168606,14.6112,21962.4,17.9418,0.492954,-36797.8,28
9.91602,168606,14.6112,21962.4,17.9418,0.492954,-36797.8,29
9.87543,168861,14.631,21965.4,17.9406,0.492535,-36793.2,30
9.87543,168861,14.631,21965.4,17.9406,0.492535,-36793.2,31
9.90711,168735,14.6454,21962.3,17.9615,0.491888,-36785.8,32
9.89907,168947,14.6319,21955.3,17.9438,0.491653,-36769.9,33
9.88677,168985,14.6278,21963.5,17.9398,0.492179,-36758,34
9.87865,168941,14.6319,21971.4,17.9389,0.491507,-36745.6,35
9.87865,168941,14.6319,21971.4,17.9389,0.491507,-36745.6,36
9.89997,168762,14.622,21962.7,17.9429,0.49247,-36742.8,37
9.88173,168881,14.6311,21964,17.9425,0.492255,-36739.7,38
9.88173,168881,14.6311,21964,17.9425,0.492255,-36739.7,39
9.88173,168881,14.6311,21964,17.9425,0.492255,-36739.7,40
9.87126,169020,14.6204,21963.5,17.9309,0.492131,-36733.9,41
9.87126,169020,14.6204,21963.5,17.9309,0.492131,-36733.9,42
9.87126,169020,14.6204,21963.5,17.9309,0.492131,-36733.9,43
9.88053,168933,14.6291,21967,17.9391,0.491835,-36731.6,44
9.88053,168933,14.6291,21967,17.9391,0.491835,-36731.6,45
9.88053,168933,14.6291,21967,17.9391,0.491835,-36731.6,46
9.88053,168933,14.6291,21967,17.9391,0.491835,-36731.6,47
9.86537,169025,14.6272,21966.3,17.9351,0.492037,-36727,48
9.86537,169025,14.6272,21966.3,17.9351,0.492037,-36727,49
9.86537,169025,14.6272,21966.3,17.9351,0.492037,-36727,50
9.86197,169101,14.6254,21965.6,17.9315,0.491783,-36725.8,51
9.85446,169138,14.635,21968.9,17.935,0.491403,-36725.8,52
9.85446,169138,14.635,21968.9,17.935,0.491403,-36725.8,53
9.81559,169458,14.6268,21966.3,17.9182,0.491434,-36722.9,54
9.84242,169220,14.6249,21968.4,17.9253,0.491633,-36720.6,55
9.84242,169220,14.6249,21968.4,17.9253,0.491633,-36720.6,56
9.84242,169220,14.6249,21968.4,17.9253,0.491633,-36720.6,57
9.84242,169220,14.6249,21968.4,17.9253,0.491633,-36720.6,58
9.79618,169599,14.6343,21972.7,17.9147,0.490862,-36711.9,59
